,rep,model2,time,variable,type,value
249,Rep09,JM_cumulative,12,PE,training,0.122672905525713
250,Rep10,JM_cumulative,12,PE,training,0.110517737936739
251,Rep11,JM_cumulative,12,PE,training,0.109399968839353
252,Rep12,JM_cumulative,12,PE,training,0.111776804481298
253,Rep13,JM_cumulative,12,PE,training,0.119589233089249
254,Rep14,JM_cumulative,12,PE,training,0.123441195635138
255,Rep15,JM_cumulative,12,PE,training,0.109152271059912
256,Rep16,JM_cumulative,12,PE,training,0.107935568019729
257,Rep17,JM_cumulative,12,PE,training,0.112443219508983
258,Rep18,JM_cumulative,12,PE,training,0.111921924670763
259,Rep19,JM_cumulative,12,PE,training,0.105698378418347
260,Rep20,JM_cumulative,12,PE,training,0.104839370466292
261,Rep01,cox(Landmark),12,PE,training,0.109407887271988
262,Rep02,cox(Landmark),12,PE,training,0.110835566889915
263,Rep03,cox(Landmark),12,PE,training,0.107595669866179
264,Rep04,cox(Landmark),12,PE,training,0.111915419874273
265,Rep05,cox(Landmark),12,PE,training,0.112833130667999
266,Rep06,cox(Landmark),12,PE,training,0.108940779498551
267,Rep07,cox(Landmark),12,PE,training,0.112289308764322
268,Rep08,cox(Landmark),12,PE,training,0.111030498687979
269,Rep09,cox(Landmark),12,PE,training,0.114703409308004
270,Rep10,cox(Landmark),12,PE,training,0.110078195789999
271,Rep11,cox(Landmark),12,PE,training,0.110164666029776
272,Rep12,cox(Landmark),12,PE,training,0.112523722501493
273,Rep13,cox(Landmark),12,PE,training,0.112211459515717
274,Rep14,cox(Landmark),12,PE,training,0.109980345918194
275,Rep15,cox(Landmark),12,PE,training,0.110767633293274
276,Rep16,cox(Landmark),12,PE,training,0.1130121879796
277,Rep17,cox(Landmark),12,PE,training,0.113352737696696
278,Rep18,cox(Landmark),12,PE,training,0.113062249982741
279,Rep19,cox(Landmark),12,PE,training,0.111902118483271
280,Rep20,cox(Landmark),12,PE,training,0.111169767872229
281,Rep01,cox(Postsurgical),12,PE,training,0.111365907134954
282,Rep02,cox(Postsurgical),12,PE,training,0.111316562584655
283,Rep03,cox(Postsurgical),12,PE,training,0.111784045585421
284,Rep04,cox(Postsurgical),12,PE,training,0.112866826527419
285,Rep05,cox(Postsurgical),12,PE,training,0.113792528135534
286,Rep06,cox(Postsurgical),12,PE,training,0.111234755649758
287,Rep07,cox(Postsurgical),12,PE,training,0.113606812165415
288,Rep08,cox(Postsurgical),12,PE,training,0.111046953394454
289,Rep09,cox(Postsurgical),12,PE,training,0.112531405096041
290,Rep10,cox(Postsurgical),12,PE,training,0.112880775499445
291,Rep11,cox(Postsurgical),12,PE,training,0.109899319208076
292,Rep12,cox(Postsurgical),12,PE,training,0.11420757896563
293,Rep13,cox(Postsurgical),12,PE,training,0.114072390234041
294,Rep14,cox(Postsurgical),12,PE,training,0.111218830794432
295,Rep15,cox(Postsurgical),12,PE,training,0.111791464425069
296,Rep16,cox(Postsurgical),12,PE,training,0.113755869478894
297,Rep17,cox(Postsurgical),12,PE,training,0.113948556488217
298,Rep18,cox(Postsurgical),12,PE,training,0.113150745077221
299,Rep19,cox(Postsurgical),12,PE,training,0.113470535664838
300,Rep20,cox(Postsurgical),12,PE,training,0.113183419447119
301,Rep01,JM_value,15,PE,training,0.167090158187856
302,Rep02,JM_value,15,PE,training,0.160524695567148
303,Rep03,JM_value,15,PE,training,0.162212297905088
304,Rep04,JM_value,15,PE,training,0.16144672866891
305,Rep05,JM_value,15,PE,training,0.169637977068854
306,Rep06,JM_value,15,PE,training,0.160607731232833
307,Rep07,JM_value,15,PE,training,0.176410737645238
308,Rep08,JM_value,15,PE,training,0.161558302709082
309,Rep09,JM_value,15,PE,training,0.166757356787562
310,Rep10,JM_value,15,PE,training,0.171749623820656
311,Rep11,JM_value,15,PE,training,0.15963132660924
312,Rep12,JM_value,15,PE,training,0.175785542378699
313,Rep13,JM_value,15,PE,training,0.173816223191382
314,Rep14,JM_value,15,PE,training,NA
315,Rep15,JM_value,15,PE,training,0.168518817961984
316,Rep16,JM_value,15,PE,training,0.156850321276989
317,Rep17,JM_value,15,PE,training,0.16317513003408
318,Rep18,JM_value,15,PE,training,NA
319,Rep19,JM_value,15,PE,training,0.169266210579794
320,Rep20,JM_value,15,PE,training,0.165263389192751
321,Rep01,JM_value-slope,15,PE,training,0.156548628825997
322,Rep02,JM_value-slope,15,PE,training,0.15149753692979
323,Rep03,JM_value-slope,15,PE,training,0.165010039552703
324,Rep04,JM_value-slope,15,PE,training,0.177194218300091
325,Rep05,JM_value-slope,15,PE,training,0.152478893612627
326,Rep06,JM_value-slope,15,PE,training,0.172965595350121
327,Rep07,JM_value-slope,15,PE,training,0.174834424109166
328,Rep08,JM_value-slope,15,PE,training,0.15443620005445
329,Rep09,JM_value-slope,15,PE,training,0.161393153845352
330,Rep10,JM_value-slope,15,PE,training,0.171246110187008
331,Rep11,JM_value-slope,15,PE,training,0.153185625168772
332,Rep12,JM_value-slope,15,PE,training,0.153038282935819
333,Rep13,JM_value-slope,15,PE,training,0.181752009309744
334,Rep14,JM_value-slope,15,PE,training,NA
335,Rep15,JM_value-slope,15,PE,training,0.161013244881396
336,Rep16,JM_value-slope,15,PE,training,0.158229735092988
337,Rep17,JM_value-slope,15,PE,training,0.150885070852704
338,Rep18,JM_value-slope,15,PE,training,0.165535194456601
339,Rep19,JM_value-slope,15,PE,training,0.161713311982831
340,Rep20,JM_value-slope,15,PE,training,0.155173180779293
341,Rep01,JM_cumulative,15,PE,training,0.150677479804367
342,Rep02,JM_cumulative,15,PE,training,0.161123344101865
343,Rep03,JM_cumulative,15,PE,training,0.15909817923806
344,Rep04,JM_cumulative,15,PE,training,0.159721790242763
345,Rep05,JM_cumulative,15,PE,training,0.14516223303421
346,Rep06,JM_cumulative,15,PE,training,0.144884227234674
347,Rep07,JM_cumulative,15,PE,training,0.152021156538189
348,Rep08,JM_cumulative,15,PE,training,0.141384187796354
349,Rep09,JM_cumulative,15,PE,training,0.156840062858521
350,Rep10,JM_cumulative,15,PE,training,0.14381068439963
351,Rep11,JM_cumulative,15,PE,training,0.146937474121625
352,Rep12,JM_cumulative,15,PE,training,0.145018969790891
353,Rep13,JM_cumulative,15,PE,training,0.152886040840056
354,Rep14,JM_cumulative,15,PE,training,NA
355,Rep15,JM_cumulative,15,PE,training,0.144391147711654
